P,Q,L,F
10,21.738,30.283,MicroPore
20,21.888,38.501,MicroPore
30,22.203,44.674,MicroPore
50,22.397,50.962,MicroPore
70,22.556,55.528,MicroPore
80,22.598,56.638,MicroPore
100,22.69,58.824,MicroPore
120,22.958,60.65,MicroPore
150,23.101,64.934,MicroPore
220,23.036,64.546,MicroPore
290,23.422,71.863,MicroPore
360,23.394,71.234,MicroPore
430,23.26,69.414,MicroPore
500,23.3,69.434,MicroPore
10,20.564,16.473,MacroPore20
30,20.867,28.313,MacroPore20
50,20.717,31.405,MacroPore20
80,20.704,37.378,MacroPore20
120,20.924,42.368,MacroPore20
150,20.86,45.617,MacroPore20
220,20.818,51.498,MacroPore20
290,20.604,53.309,MacroPore20
360,20.638,57.441,MacroPore20
430,20.518,60.271,MacroPore20
500,20.255,61.791,MacroPore20
10,20.143,35.515,MacroPore60
30,20.276,57.949,MacroPore60
50,20.249,69.847,MacroPore60
80,20.332,85.168,MacroPore60
120,19.947,90.259,MacroPore60
150,19.718,94.71,MacroPore60
220,19.68,109.684,MacroPore60
290,19.257,117.112,MacroPore60
360,18.892,122.706,MacroPore60
430,18.371,125.683,MacroPore60
500,18.292,134.838,MacroPore60
