T,P,L,F,Q
623,10,29.448,MacroPore20,21.177
623,30,38.465,MacroPore20,21.22
623,50,46.612,MacroPore20,21.451
623,80,53.696,MacroPore20,21.348
623,120,53.121,MacroPore20,21.139
623,150,61.109,MacroPore20,21.102
623,220,62.116,MacroPore20,20.941
623,290,66.732,MacroPore20,20.882
623,360,67.834,MacroPore20,20.403
623,430,71.337,MacroPore20,20.206
623,500,73.739,MacroPore20,20.037
673,10,16.473,MacroPore20,20.564
673,30,28.313,MacroPore20,20.867
673,50,31.405,MacroPore20,20.717
673,80,37.378,MacroPore20,20.704
673,120,42.368,MacroPore20,20.924
673,150,45.617,MacroPore20,20.86
673,220,51.498,MacroPore20,20.818
673,290,53.309,MacroPore20,20.604
673,360,57.441,MacroPore20,20.638
673,430,60.271,MacroPore20,20.518
673,500,61.791,MacroPore20,20.255
723,10,8.104,MacroPore20,20.101
723,30,16.833,MacroPore20,20.242
723,50,21.949,MacroPore20,20.362
723,80,26.794,MacroPore20,20.289
723,120,30.656,MacroPore20,20.27
723,150,34.833,MacroPore20,20.485
723,220,38.102,MacroPore20,20.265
723,290,40.459,MacroPore20,20.076
723,360,45.229,MacroPore20,19.876
723,430,48.114,MacroPore20,19.674
723,500,50.085,MacroPore20,19.444
773,10,3.994,MacroPore20,19.854
773,30,9.715,MacroPore20,19.916
773,50,13.776,MacroPore20,19.982
773,80,17.941,MacroPore20,19.896
773,120,22.349,MacroPore20,19.992
773,150,23.748,MacroPore20,19.833
773,220,28.93,MacroPore20,19.913
773,290,32.795,MacroPore20,19.912
773,360,33.821,MacroPore20,19.638
773,430,37.13,MacroPore20,19.43
773,500,37.23,MacroPore20,19.452
623,10,60.386,MacroPore60,20.627
623,30,84.022,MacroPore60,20.694
623,50,93.984,MacroPore60,20.643
623,80,106.506,MacroPore60,20.561
623,120,111.454,MacroPore60,20.093
623,150,120.964,MacroPore60,20.033
623,220,129.392,MacroPore60,19.382
623,290,140.164,MacroPore60,19.097
623,360,147.854,MacroPore60,18.638
623,430,150.015,MacroPore60,18.144
623,500,160.923,MacroPore60,18.047
673,10,35.515,MacroPore60,20.143
673,30,57.949,MacroPore60,20.276
673,50,69.847,MacroPore60,20.249
673,80,85.168,MacroPore60,20.332
673,120,90.259,MacroPore60,19.947
673,150,94.71,MacroPore60,19.718
673,220,109.684,MacroPore60,19.68
673,290,117.112,MacroPore60,19.257
673,360,122.706,MacroPore60,18.892
673,430,125.683,MacroPore60,18.371
673,500,134.838,MacroPore60,18.292
723,10,15.305,MacroPore60,19.659
723,30,35.984,MacroPore60,19.733
723,50,46.031,MacroPore60,19.742
723,80,56.358,MacroPore60,19.561
723,120,66.196,MacroPore60,19.458
723,150,75.039,MacroPore60,19.412
723,220,80.369,MacroPore60,18.963
723,290,90.435,MacroPore60,18.806
723,360,102.657,MacroPore60,18.839
723,430,105.114,MacroPore60,18.409
723,500,111.641,MacroPore60,18.332
773,10,8.017,MacroPore60,19.285
773,30,20.139,MacroPore60,19.305
773,50,29.045,MacroPore60,19.306
773,80,39.767,MacroPore60,19.222
773,120,47.603,MacroPore60,19.041
773,150,52.61,MacroPore60,18.908
773,220,62.963,MacroPore60,18.717
773,290,71.918,MacroPore60,18.536
773,360,79.776,MacroPore60,18.418
773,430,84.95,MacroPore60,18.193
773,500,90.113,MacroPore60,17.966
623,10,48.062,MicroPore,22.435
623,20,55.758,MicroPore,22.721
623,30,62.876,MicroPore,23.068
623,50,65.222,MicroPore,23.218
623,70,72.008,MicroPore,23.567
623,80,72.192,MicroPore,23.562
623,100,75.437,MicroPore,23.816
623,120,73.59,MicroPore,23.57
623,150,74.846,MicroPore,23.664
623,220,74.187,MicroPore,23.698
623,290,76.135,MicroPore,23.709
623,360,75.253,MicroPore,23.713
623,430,76.225,MicroPore,23.681
623,500,77.84,MicroPore,23.768
673,10,30.283,MicroPore,21.738
673,20,38.501,MicroPore,21.888
673,30,44.674,MicroPore,22.203
673,50,50.962,MicroPore,22.397
673,70,55.528,MicroPore,22.556
673,80,56.638,MicroPore,22.598
673,100,58.824,MicroPore,22.69
673,120,60.65,MicroPore,22.958
673,150,64.934,MicroPore,23.101
673,220,64.546,MicroPore,23.036
673,290,71.863,MicroPore,23.46
673,360,71.234,MicroPore,23.422
673,430,69.414,MicroPore,23.394
673,500,69.434,MicroPore,23.26
723,10,15.024,MicroPore,21.125
723,20,23.747,MicroPore,21.157
723,30,29.704,MicroPore,21.334
723,50,35.733,MicroPore,21.518
723,70,40.541,MicroPore,21.639
723,80,43.885,MicroPore,21.821
723,100,47.87,MicroPore,22.056
723,120,47.819,MicroPore,22.233
723,150,50.294,MicroPore,22.208
723,220,56.633,MicroPore,22.187
723,290,57.617,MicroPore,22.571
723,360,60.616,MicroPore,22.554
723,430,60.416,MicroPore,22.627
723,500,61.195,MicroPore,22.905
773,10,6.97,MicroPore,20.62
773,20,12.673,MicroPore,20.758
773,30,16.661,MicroPore,20.852
773,50,23.068,MicroPore,20.991
773,70,25.345,MicroPore,21.11
773,80,28.579,MicroPore,21.27
773,100,31.778,MicroPore,21.365
773,120,34.477,MicroPore,21.401
773,150,38.331,MicroPore,21.527
773,220,42.382,MicroPore,21.643
773,290,44.508,MicroPore,21.749
773,360,48.4,MicroPore,21.805
773,430,49.595,MicroPore,21.874
773,500,54.164,MicroPore,22.015
