T,P,Q,F
623,10,21.177,MacroPore20
623,30,21.22,MacroPore20
623,50,21.451,MacroPore20
623,80,21.648,MacroPore20
623,120,21.139,MacroPore20
623,150,21.502,MacroPore20
623,220,20.941,MacroPore20
623,290,20.882,MacroPore20
623,360,20.403,MacroPore20
623,430,20.206,MacroPore20
623,500,20.037,MacroPore20
673,10,20.564,MacroPore20
673,30,20.867,MacroPore20
673,50,20.717,MacroPore20
673,80,20.704,MacroPore20
673,120,20.924,MacroPore20
673,150,20.86,MacroPore20
673,220,20.818,MacroPore20
673,290,20.604,MacroPore20
673,360,20.638,MacroPore20
673,430,20.518,MacroPore20
673,500,20.255,MacroPore20
723,10,20.101,MacroPore20
723,30,20.242,MacroPore20
723,50,20.362,MacroPore20
723,80,20.289,MacroPore20
723,120,20.27,MacroPore20
723,150,20.485,MacroPore20
723,220,20.265,MacroPore20
723,290,20.076,MacroPore20
723,360,20.267,MacroPore20
723,430,20.175,MacroPore20
723,500,20.193,MacroPore20
773,10,19.854,MacroPore20
773,30,19.916,MacroPore20
773,50,19.982,MacroPore20
773,80,19.896,MacroPore20
773,120,19.992,MacroPore20
773,150,19.833,MacroPore20
773,220,19.913,MacroPore20
773,290,19.912,MacroPore20
773,360,19.638,MacroPore20
773,430,19.73,MacroPore20
773,500,19.442,MacroPore20
