T,P,Q,F
623,10,22.435,MicroPore
623,20,22.721,MicroPore
623,30,23.068,MicroPore
623,50,23.218,MicroPore
623,70,23.567,MicroPore
623,80,23.562,MicroPore
623,100,23.816,MicroPore
623,120,23.57,MicroPore
623,150,23.664,MicroPore
623,180,23.638,MicroPore
623,220,23.698,MicroPore
623,290,23.709,MicroPore
623,360,23.713,MicroPore
623,430,23.681,MicroPore
623,500,23.768,MicroPore
673,10,21.738,MicroPore
673,20,21.888,MicroPore
673,30,22.203,MicroPore
673,50,22.397,MicroPore
673,70,22.556,MicroPore
673,80,22.598,MicroPore
673,100,22.69,MicroPore
673,120,22.958,MicroPore
673,150,23.101,MicroPore
673,180,23.22,MicroPore
673,220,23.036,MicroPore
673,240,23.46,MicroPore
673,290,23.422,MicroPore
673,360,23.394,MicroPore
673,430,23.26,MicroPore
673,500,23.3,MicroPore
723,10,21.157,MicroPore
723,20,21.334,MicroPore
723,30,21.518,MicroPore
723,50,21.639,MicroPore
723,70,21.821,MicroPore
723,80,22.056,MicroPore
723,100,22.233,MicroPore
723,120,22.208,MicroPore
723,150,22.187,MicroPore
723,180,22.271,MicroPore
723,220,22.571,MicroPore
723,240,22.554,MicroPore
723,290,22.627,MicroPore
723,360,22.905,MicroPore
723,430,22.62,MicroPore
723,500,22.758,MicroPore
773,10,20.852,MicroPore
773,20,20.991,MicroPore
773,30,21.11,MicroPore
773,50,21.27,MicroPore
773,80,21.365,MicroPore
773,100,21.401,MicroPore
773,120,21.527,MicroPore
773,150,21.643,MicroPore
773,180,21.544,MicroPore
773,220,21.749,MicroPore
773,240,21.805,MicroPore
773,290,21.874,MicroPore
773,360,22.015,MicroPore
773,430,22.05,MicroPore
773,500,22.091,MicroPore
