P,L,F,Q
0,0,C3,0
10,13.404,C3,18.032
30,27.78,C3,18.032
50,37.229,C3,18.488
80,45.626,C3,18.84
120,54.081,C3,19.157
150,56.396,C3,19.159
220,62.603,C3,19.342
290,66.069,C3,19.544
360,70.666,C3,19.687
430,70.97,C3,19.688
500,71.185,C3,19.628
0,0,C5,0
10,40.973,C5,25.287
30,46.337,C5,25.301
80,50.254,C5,25.454
120,52.585,C5,25.595
150,51.411,C5,25.6
220,53.328,C5,25.648
290,55.061,C5,25.778
360,54.169,C5,25.643
430,54.138,C5,25.65
500,55.746,C5,25.79
0,0,C4,0
10,30.283,C4,21.738
20,38.501,C4,21.888
30,44.674,C4,22.203
50,50.962,C4,22.397
70,55.528,C4,22.556
80,56.638,C4,22.598
100,58.824,C4,22.69
120,60.65,C4,22.958
150,64.934,C4,23.101
220,64.546,C4,23.036
290,71.863,C4,23.422
360,71.234,C4,23.394
430,69.414,C4,23.26
500,69.434,C4,23.3
0,0,C2,0
10,5.221,C2,14.857
30,13.337,C2,14.925
50,20.547,C2,15.081
80,27.798,C2,15.151
120,35.265,C2,15.309
150,39.248,C2,15.355
220,47.366,C2,15.629
290,53.784,C2,15.801
360,58.04,C2,15.934
430,62.751,C2,16.061
500,65.685,C2,16.131
