T,P,L,F
623,10,60.386,MacroPore60
623,30,84.022,MacroPore60
623,50,93.984,MacroPore60
623,80,106.506,MacroPore60
623,120,111.454,MacroPore60
623,150,120.964,MacroPore60
623,220,129.392,MacroPore60
623,290,140.164,MacroPore60
623,360,147.854,MacroPore60
623,430,150.015,MacroPore60
623,500,160.923,MacroPore60
673,10,35.515,MacroPore60
673,30,57.949,MacroPore60
673,50,69.847,MacroPore60
673,80,85.168,MacroPore60
673,120,90.259,MacroPore60
673,150,94.71,MacroPore60
673,220,109.684,MacroPore60
673,290,117.112,MacroPore60
673,360,122.706,MacroPore60
673,430,125.683,MacroPore60
673,500,134.838,MacroPore60
723,10,15.305,MacroPore60
723,30,35.984,MacroPore60
723,50,46.031,MacroPore60
723,80,56.358,MacroPore60
723,120,66.196,MacroPore60
723,150,75.039,MacroPore60
723,220,80.369,MacroPore60
723,290,90.435,MacroPore60
723,360,102.657,MacroPore60
723,430,105.114,MacroPore60
723,500,111.641,MacroPore60
773,10,8.017,MacroPore60
773,30,20.139,MacroPore60
773,50,29.045,MacroPore60
773,80,39.767,MacroPore60
773,120,47.603,MacroPore60
773,150,52.61,MacroPore60
773,220,62.963,MacroPore60
773,290,71.918,MacroPore60
773,360,79.776,MacroPore60
773,430,84.95,MacroPore60
773,500,90.113,MacroPore60
