T,P,L,F
623,0,0,MicroPore
623,10,48.062,MicroPore
623,20,55.758,MicroPore
623,30,62.876,MicroPore
623,50,65.222,MicroPore
623,70,72.008,MicroPore
623,80,72.192,MicroPore
623,100,75.437,MicroPore
623,120,73.59,MicroPore
623,150,74.846,MicroPore
623,220,74.187,MicroPore
623,290,76.135,MicroPore
623,360,75.253,MicroPore
623,430,76.225,MicroPore
623,500,77.84,MicroPore
673,0,0,MicroPore
673,10,30.283,MicroPore
673,20,38.501,MicroPore
673,30,44.674,MicroPore
673,50,50.962,MicroPore
673,70,55.528,MicroPore
673,80,56.638,MicroPore
673,100,58.824,MicroPore
673,120,60.65,MicroPore
673,150,64.934,MicroPore
673,220,64.546,MicroPore
673,290,71.863,MicroPore
673,360,71.234,MicroPore
673,430,69.414,MicroPore
673,500,69.434,MicroPore
723,0,0,MicroPore
723,10,15.024,MicroPore
723,20,23.747,MicroPore
723,30,29.704,MicroPore
723,50,35.733,MicroPore
723,70,40.541,MicroPore
723,80,43.885,MicroPore
723,100,47.87,MicroPore
723,120,47.819,MicroPore
723,150,50.294,MicroPore
723,220,56.633,MicroPore
723,290,57.617,MicroPore
723,360,60.616,MicroPore
723,430,60.416,MicroPore
723,500,61.195,MicroPore
773,0,0,MicroPore
773,10,6.97,MicroPore
773,20,12.673,MicroPore
773,30,16.661,MicroPore
773,50,23.068,MicroPore
773,70,25.345,MicroPore
773,80,28.579,MicroPore
773,100,31.778,MicroPore
773,120,34.477,MicroPore
773,150,38.331,MicroPore
773,220,42.382,MicroPore
773,290,44.508,MicroPore
773,360,48.4,MicroPore
773,430,49.595,MicroPore
773,500,54.164,MicroPore
