T,P,L,F
623,0,0,COMPASS2
623,10,48.062,COMPASS2
623,20,55.758,COMPASS2
623,30,62.876,COMPASS2
623,50,65.222,COMPASS2
623,70,72.008,COMPASS2
623,80,73.614,COMPASS2
623,100,75.437,COMPASS2
623,120,73.59,COMPASS2
623,150,74.846,COMPASS2
623,220,74.187,COMPASS2
623,290,76.135,COMPASS2
623,360,75.253,COMPASS2
623,430,76.225,COMPASS2
623,500,77.84,COMPASS2
673,0,0,COMPASS2
673,10,30.283,COMPASS2
673,20,38.501,COMPASS2
673,30,44.674,COMPASS2
673,50,50.962,COMPASS2
673,70,55.528,COMPASS2
673,80,56.638,COMPASS2
673,100,58.824,COMPASS2
673,120,60.65,COMPASS2
673,150,64.934,COMPASS2
673,220,64.546,COMPASS2
673,290,71.863,COMPASS2
673,360,71.234,COMPASS2
673,430,69.414,COMPASS2
673,500,69.434,COMPASS2
723,0,0,COMPASS2
723,10,15.024,COMPASS2
723,20,23.747,COMPASS2
723,30,29.704,COMPASS2
723,50,35.733,COMPASS2
723,70,40.541,COMPASS2
723,80,43.885,COMPASS2
723,100,47.87,COMPASS2
723,120,47.819,COMPASS2
723,150,50.294,COMPASS2
723,220,56.633,COMPASS2
723,290,57.617,COMPASS2
723,360,60.616,COMPASS2
723,430,60.416,COMPASS2
723,500,61.195,COMPASS2
773,0,0,COMPASS2
773,10,6.97,COMPASS2
773,20,12.673,COMPASS2
773,30,16.661,COMPASS2
773,50,23.068,COMPASS2
773,70,26.489,COMPASS2
773,80,28.579,COMPASS2
773,100,31.778,COMPASS2
773,120,34.477,COMPASS2
773,150,38.331,COMPASS2
773,220,42.382,COMPASS2
773,290,44.508,COMPASS2
773,360,48.4,COMPASS2
773,430,49.595,COMPASS2
773,500,54.164,COMPASS2
623,0,0,CVFF
623,10,71.643,CVFF
623,40,72.825,CVFF
623,80,74.418,CVFF
623,150,75.977,CVFF
623,220,74.388,CVFF
623,290,75.186,CVFF
623,360,75.868,CVFF
623,430,75.586,CVFF
623,500,76.829,CVFF
673,0,0,CVFF
673,10,58.981,CVFF
673,40,69.627,CVFF
673,80,74.653,CVFF
673,150,73.589,CVFF
673,220,71.874,CVFF
673,290,75.947,CVFF
673,360,76.321,CVFF
673,430,78.433,CVFF
673,500,72.938,CVFF
723,0,0,CVFF
723,10,43.444,CVFF
723,40,61.268,CVFF
723,80,69.028,CVFF
723,150,66.682,CVFF
723,220,71.384,CVFF
723,290,71.548,CVFF
723,360,72.461,CVFF
723,430,70.379,CVFF
723,500,71.039,CVFF
773,0,0,CVFF
773,10,28.324,CVFF
773,40,46.494,CVFF
773,80,54.719,CVFF
773,150,65.076,CVFF
773,220,66.771,CVFF
773,290,62.717,CVFF
773,360,66.488,CVFF
773,430,72.423,CVFF
773,500,70.247,CVFF
