Time,MSD,F
0,0,MicroPore
5,4.48099181,MicroPore
10,6.44056258,MicroPore
15,7.87243175,MicroPore
20,8.99450386,MicroPore
25,9.94177006,MicroPore
30,10.90683892,MicroPore
35,11.60424956,MicroPore
40,12.50137347,MicroPore
45,13.72120742,MicroPore
50,14.61529155,MicroPore
55,15.49618522,MicroPore
60,16.05303287,MicroPore
65,16.48382813,MicroPore
70,16.9883759,MicroPore
75,17.42687519,MicroPore
80,17.64589537,MicroPore
85,18.39541225,MicroPore
90,19.14042181,MicroPore
95,19.77701537,MicroPore
100,20.66175343,MicroPore
105,21.19682643,MicroPore
110,21.70897064,MicroPore
115,22.43881826,MicroPore
120,23.16151357,MicroPore
125,24.28421367,MicroPore
130,24.95267636,MicroPore
135,25.5017784,MicroPore
140,25.9598779,MicroPore
145,26.09017101,MicroPore
150,25.76890272,MicroPore
155,25.66149187,MicroPore
160,26.06512265,MicroPore
165,26.42852744,MicroPore
170,26.74503604,MicroPore
175,26.39502541,MicroPore
180,26.02453445,MicroPore
185,24.70317534,MicroPore
190,23.09304102,MicroPore
195,22.56182736,MicroPore
0,0,MacroPore20
5,21.29492226,MacroPore20
10,34.08618536,MacroPore20
15,45.4316127,MacroPore20
20,56.17251426,MacroPore20
25,67.40087313,MacroPore20
30,78.58371089,MacroPore20
35,89.22996492,MacroPore20
40,100.5138749,MacroPore20
45,111.1238398,MacroPore20
50,121.300523,MacroPore20
55,130.7236199,MacroPore20
60,139.1351721,MacroPore20
65,147.8621911,MacroPore20
70,156.236588,MacroPore20
75,164.5814792,MacroPore20
80,172.6689425,MacroPore20
85,181.3690023,MacroPore20
90,189.7306559,MacroPore20
95,196.2256458,MacroPore20
100,202.7572376,MacroPore20
105,209.4514601,MacroPore20
110,216.9804787,MacroPore20
115,224.1457663,MacroPore20
120,231.4701013,MacroPore20
125,238.5383593,MacroPore20
130,244.7911913,MacroPore20
135,251.7484401,MacroPore20
140,258.4365905,MacroPore20
145,265.2362404,MacroPore20
150,271.7202481,MacroPore20
155,278.2633919,MacroPore20
160,285.107132,MacroPore20
165,292.8918399,MacroPore20
170,300.2842516,MacroPore20
175,306.9147282,MacroPore20
180,313.8989778,MacroPore20
185,320.9896152,MacroPore20
190,328.3990354,MacroPore20
195,336.0253206,MacroPore20
200,343.2190425,MacroPore20
205,350.1660599,MacroPore20
210,357.2872909,MacroPore20
215,365.637497,MacroPore20
220,374.7382988,MacroPore20
225,384.7219952,MacroPore20
230,393.4917476,MacroPore20
235,402.5229328,MacroPore20
240,410.6174388,MacroPore20
245,420.5917228,MacroPore20
250,428.2625279,MacroPore20
255,436.2879137,MacroPore20
260,444.2666933,MacroPore20
265,450.5482963,MacroPore20
270,455.8922149,MacroPore20
275,459.2434492,MacroPore20
280,461.7098696,MacroPore20
285,464.5100981,MacroPore20
290,467.0485944,MacroPore20
295,470.7049377,MacroPore20
300,473.5425479,MacroPore20
305,475.9487017,MacroPore20
310,478.6846856,MacroPore20
315,480.835466,MacroPore20
320,484.7267667,MacroPore20
325,486.9762563,MacroPore20
330,488.4400526,MacroPore20
335,492.8236848,MacroPore20
340,499.2341324,MacroPore20
345,506.233131,MacroPore20
350,513.5369197,MacroPore20
355,519.2806615,MacroPore20
360,529.3207096,MacroPore20
365,539.5382926,MacroPore20
370,546.8796383,MacroPore20
375,554.8146553,MacroPore20
380,556.3887462,MacroPore20
385,555.8350869,MacroPore20
390,558.9699584,MacroPore20
395,571.9413175,MacroPore20
0,0,MacroPore60
5,217.833537,MacroPore60
10,487.4805735,MacroPore60
15,717.6325316,MacroPore60
20,912.2815763,MacroPore60
25,1.09E+03,MacroPore60
30,1.25E+03,MacroPore60
35,1.41E+03,MacroPore60
40,1.57E+03,MacroPore60
45,1.72E+03,MacroPore60
50,1.89E+03,MacroPore60
55,2.06E+03,MacroPore60
60,2.23E+03,MacroPore60
65,2.39E+03,MacroPore60
70,2.56E+03,MacroPore60
75,2.72E+03,MacroPore60
80,2.88E+03,MacroPore60
85,3.05E+03,MacroPore60
90,3.22E+03,MacroPore60
95,3.38E+03,MacroPore60
100,3.54E+03,MacroPore60
105,3.71E+03,MacroPore60
110,3.89E+03,MacroPore60
115,4.07E+03,MacroPore60
120,4.24E+03,MacroPore60
125,4.42E+03,MacroPore60
130,4.58E+03,MacroPore60
135,4.75E+03,MacroPore60
140,4.92E+03,MacroPore60
145,5.08E+03,MacroPore60
150,5.23E+03,MacroPore60
155,5.37E+03,MacroPore60
160,5.50E+03,MacroPore60
165,5.63E+03,MacroPore60
170,5.77E+03,MacroPore60
175,5.89E+03,MacroPore60
180,6.02E+03,MacroPore60
185,6.16E+03,MacroPore60
190,6.30E+03,MacroPore60
195,6.47E+03,MacroPore60
200,6.64E+03,MacroPore60
205,6.80E+03,MacroPore60
210,6.95E+03,MacroPore60
215,7.10E+03,MacroPore60
220,7.24E+03,MacroPore60
225,7.39E+03,MacroPore60
230,7.53E+03,MacroPore60
235,7.68E+03,MacroPore60
240,7.84E+03,MacroPore60
245,8.01E+03,MacroPore60
250,8.18E+03,MacroPore60
255,8.35E+03,MacroPore60
260,8.52E+03,MacroPore60
265,8.70E+03,MacroPore60
270,8.88E+03,MacroPore60
275,9.04E+03,MacroPore60
280,9.20E+03,MacroPore60
285,9.36E+03,MacroPore60
290,9.54E+03,MacroPore60
295,9.73E+03,MacroPore60
300,9.90E+03,MacroPore60
305,1.01E+04,MacroPore60
310,1.02E+04,MacroPore60
315,1.04E+04,MacroPore60
320,1.05E+04,MacroPore60
325,1.07E+04,MacroPore60
330,1.08E+04,MacroPore60
335,1.10E+04,MacroPore60
340,1.11E+04,MacroPore60
345,1.13E+04,MacroPore60
350,1.15E+04,MacroPore60
355,1.17E+04,MacroPore60
360,1.19E+04,MacroPore60
365,1.21E+04,MacroPore60
370,1.24E+04,MacroPore60
375,1.27E+04,MacroPore60
380,1.31E+04,MacroPore60
385,1.35E+04,MacroPore60
390,1.39E+04,MacroPore60
395,1.41E+04,MacroPore60
