Time,MSD,F
0,0,MicroPore
5,4.48099181,MicroPore
10,6.44056258,MicroPore
15,7.87243175,MicroPore
20,8.99450386,MicroPore
25,9.94177006,MicroPore
30,10.90683892,MicroPore
35,11.60424956,MicroPore
40,12.50137347,MicroPore
45,13.72120742,MicroPore
50,14.61529155,MicroPore
55,15.49618522,MicroPore
60,16.05303287,MicroPore
65,16.48382813,MicroPore
70,16.9883759,MicroPore
75,17.42687519,MicroPore
80,17.64589537,MicroPore
85,18.39541225,MicroPore
90,19.14042181,MicroPore
95,19.77701537,MicroPore
100,20.66175343,MicroPore
105,21.19682643,MicroPore
110,21.70897064,MicroPore
115,22.43881826,MicroPore
120,23.16151357,MicroPore
125,24.28421367,MicroPore
130,24.95267636,MicroPore
135,25.5017784,MicroPore
140,25.9598779,MicroPore
145,26.09017101,MicroPore
150,26.83968789,MicroPore
155,27.58469745,MicroPore
160,28.22129101,MicroPore
165,29.10602907,MicroPore
170,29.64110207,MicroPore
175,30.15324628,MicroPore
180,30.8830939,MicroPore
185,31.60578921,MicroPore
190,32.14086221,MicroPore
195,32.65300642,MicroPore
0,0,MacrocPore20
5,5.07399399,MacrocPore20
10,6.84915307,MacrocPore20
15,8.37582313,MacrocPore20
20,9.7754677,MacrocPore20
25,10.68423181,MacrocPore20
30,11.6006496,MacrocPore20
35,12.64603488,MacrocPore20
40,13.76540674,MacrocPore20
45,14.5436048,MacrocPore20
50,14.95025613,MacrocPore20
55,15.81719453,MacrocPore20
60,16.88786796,MacrocPore20
65,17.57087197,MacrocPore20
70,18.26647117,MacrocPore20
75,19.25435654,MacrocPore20
80,19.74220649,MacrocPore20
85,20.3657768,MacrocPore20
90,21.27210166,MacrocPore20
95,21.84559363,MacrocPore20
100,22.56477517,MacrocPore20
105,23.07702077,MacrocPore20
110,23.67063571,MacrocPore20
115,23.93538345,MacrocPore20
120,24.34661101,MacrocPore20
125,25.12615298,MacrocPore20
130,25.60442008,MacrocPore20
135,26.04195541,MacrocPore20
140,26.47215594,MacrocPore20
145,27.27816731,MacrocPore20
150,28.14232066,MacrocPore20
155,29.02676356,MacrocPore20
160,29.3684761,MacrocPore20
165,30.22471594,MacrocPore20
170,31.12352154,MacrocPore20
175,32.2715995,MacrocPore20
180,34.53235488,MacrocPore20
185,35.74981947,MacrocPore20
190,37.73829541,MacrocPore20
195,37.89169834,MacrocPore20
0,0,MacroPore60
5,5.02670341,MacroPore60
10,6.51142186,MacroPore60
15,7.77047547,MacroPore60
20,8.80897371,MacroPore60
25,9.79751803,MacroPore60
30,10.76267091,MacroPore60
35,11.47681196,MacroPore60
40,12.37623137,MacroPore60
45,13.19744042,MacroPore60
50,13.89991692,MacroPore60
55,14.5505836,MacroPore60
60,15.15872369,MacroPore60
65,15.98396946,MacroPore60
70,16.71410064,MacroPore60
75,17.21035241,MacroPore60
80,17.76994646,MacroPore60
85,18.18642477,MacroPore60
90,18.78215311,MacroPore60
95,19.21903561,MacroPore60
100,19.83402831,MacroPore60
105,20.60455746,MacroPore60
110,21.12366997,MacroPore60
115,21.49530691,MacroPore60
120,21.81243563,MacroPore60
125,22.16692145,MacroPore60
130,22.8127202,MacroPore60
135,23.91739134,MacroPore60
140,24.89104997,MacroPore60
145,26.360172,MacroPore60
150,27.18991133,MacroPore60
155,28.45891104,MacroPore60
160,29.53736154,MacroPore60
165,30.85593665,MacroPore60
170,31.68913248,MacroPore60
175,32.49614876,MacroPore60
180,33.36764493,MacroPore60
185,34.41826624,MacroPore60
190,36.09447063,MacroPore60
195,37.33982966,MacroPore60
